Transaction_ID,Date_of_Sale,Customer_Age,Customer_Gender,State,City,Product_Category,Carat,Diamond_Clarity,Diamond_Color,Price,Payment_Method,Discount_Applied
TX000053,2023-01-01 01:18:17,54,Male,Tamil Nadu,Ahmedabad,Ring,0.6,VVS1,G,240092.1,Online,8.67
TX000054,2023-01-01 21:41:45,51,Female,Tamil Nadu,Delhi,Necklace,0.73,VVS1,D,326556.62,Debit Card,12.37
TX000055,2023-01-01 19:58:43,48,Female,Gujarat,Kolkata,Earring,2.08,VVS2,E,140874.91,Debit Card,12.88
TX000056,2023-01-01 05:57:04,25,Male,West Bengal,Kolkata,Earring,2.68,SI1,D,296874.83,Online,3.21
TX000057,2023-01-01 12:59:46,39,Female,Karnataka,Mumbai,Necklace,1.1,SI2,D,55135.07,Credit Card,14.43
TX000058,2023-01-01 21:55:51,38,Male,Maharashtra,Chennai,Ring,0.8,VVS2,F,104203.33,Cash,13.95
TX000059,2023-01-01 03:30:06,56,Female,Maharashtra,Kolkata,Earring,2.98,SI2,F,264577.49,Debit Card,4.7
TX000060,2023-01-01 04:28:49,60,Female,Delhi,Chennai,Earring,1.82,SI1,G,220326.99,Debit Card,9.61
TX000061,2023-01-01 23:51:06,64,Male,Maharashtra,Kolkata,Earring,3.0,SI1,F,156689.19,Debit Card,13.8
TX000062,2023-01-01 17:51:57,46,Female,Gujarat,Bengaluru,Earring,1.55,VVS1,D,67374.84,Debit Card,14.79
TX000063,2023-01-01 17:39:20,59,Male,Delhi,Chennai,Necklace,1.28,SI1,F,325000.68,Online,0.76
TX000064,2023-01-01 13:14:46,53,Female,West Bengal,Kolkata,Earring,2.15,VVS1,E,182864.52,Online,12.44
TX000065,2023-01-01 15:52:15,45,Male,Karnataka,Chennai,Earring,1.17,VVS2,F,266641.9,Credit Card,9.25
TX000066,2023-01-01 01:53:52,31,Female,Karnataka,Delhi,Necklace,0.96,SI1,G,87375.2,Credit Card,4.37
TX000067,2023-01-01 05:03:19,29,Male,Gujarat,Kolkata,Ring,2.7,SI2,G,61904.54,Debit Card,8.51
TX000068,2023-01-01 06:06:32,53,Female,Maharashtra,Kolkata,Earring,1.6,VVS2,D,218381.71,Cash,23.62
TX000069,2023-01-01 10:25:12,38,Male,West Bengal,Mumbai,Earring,1.59,VVS1,E,359371.73,Online,8.65
TX000070,2023-01-01 08:33:13,42,Male,Maharashtra,Bengaluru,Ring,1.69,SI2,F,273618.84,Cash,24.0
TX000071,2023-01-01 23:34:38,51,Female,Karnataka,Ahmedabad,Earring,1.27,SI1,G,77081.01,Debit Card,14.8
TX000072,2023-01-01 23:57:38,47,Female,Gujarat,Chennai,Necklace,2.82,SI2,F,170140.19,Cash,7.56
TX000073,2023-01-01 14:44:00,43,Female,Karnataka,Kolkata,Necklace,2.48,SI1,G,307215.47,Debit Card,12.89
TX000074,2023-01-01 16:30:57,41,Male,Karnataka,Mumbai,Earring,2.01,VVS1,F,209438.22,Online,5.3
TX000075,2023-01-01 08:47:36,64,Female,Gujarat,Chennai,Earring,1.26,SI1,F,135557.82,Cash,2.57
TX000076,2023-01-01 12:02:33,46,Male,Delhi,Kolkata,Bracelet,1.07,VVS1,D,369119.28,Debit Card,8.13
TX000077,2023-01-01 23:24:00,25,Female,West Bengal,Bengaluru,Earring,2.99,SI1,D,302956.12,Credit Card,1.71
TX000078,2023-01-01 03:52:02,54,Female,West Bengal,Kolkata,Bracelet,0.58,VVS2,G,202655.14,Credit Card,4.2
TX000079,2023-01-01 11:56:18,43,Female,Gujarat,Kolkata,Ring,2.26,VVS2,F,83541.18,Debit Card,6.0
TX000080,2023-01-01 10:09:51,34,Male,Gujarat,Delhi,Bracelet,2.2,SI1,E,205645.62,Credit Card,19.99
TX000081,2023-01-01 04:23:28,61,Female,Tamil Nadu,Mumbai,Ring,1.26,VVS1,F,367779.6,Credit Card,5.24
TX000082,2023-01-01 07:33:53,63,Female,Tamil Nadu,Chennai,Earring,2.46,SI1,D,134800.0,Online,14.69
TX000083,2023-01-01 22:25:56,60,Female,West Bengal,Chennai,Earring,1.07,SI2,E,317005.08,Online,3.24
TX000084,2023-01-01 15:09:44,47,Female,Tamil Nadu,Delhi,Necklace,1.61,VVS2,D,325533.25,Debit Card,5.76
TX000085,2023-01-01 02:43:06,48,Male,Karnataka,Ahmedabad,Necklace,1.9,SI2,D,138774.98,Credit Card,9.4
TX000086,2023-01-01 12:53:54,34,Female,Tamil Nadu,Bengaluru,Earring,1.45,VVS2,F,402908.66,Cash,12.62
TX000087,2023-01-01 10:22:40,44,Male,Delhi,Ahmedabad,Bracelet,1.54,SI1,G,232222.32,Debit Card,22.04
TX000088,2023-01-01 07:47:28,55,Male,Delhi,Delhi,Earring,2.31,SI2,D,73790.44,Online,14.36
TX000089,2023-01-01 05:08:34,26,Female,Gujarat,Ahmedabad,Necklace,3.0,VVS2,E,289141.54,Cash,7.88
TX000090,2023-01-01 00:26:32,41,Female,Delhi,Kolkata,Necklace,1.24,SI2,D,93199.36,Online,13.15
TX000091,2023-01-01 13:36:05,52,Male,Karnataka,Mumbai,Ring,2.08,SI1,G,320588.68,Online,8.34
TX000092,2023-01-01 23:12:08,63,Female,Gujarat,Delhi,Ring,2.84,SI2,G,184101.26,Debit Card,13.94
TX000093,2023-01-01 09:13:09,29,Male,Maharashtra,Mumbai,Bracelet,0.59,SI1,G,294044.65,Online,0.69
TX000094,2023-01-01 18:35:18,41,Female,Tamil Nadu,Ahmedabad,Earring,1.47,SI1,E,272368.7,Online,2.1
TX000095,2023-01-01 16:34:07,42,Female,Delhi,Chennai,Bracelet,1.68,SI1,F,260600.14,Credit Card,4.67
TX000096,2023-01-01 14:02:44,58,Female,Gujarat,Delhi,Necklace,2.86,VVS1,G,245807.41,Debit Card,6.88
TX000097,2023-01-01 18:39:21,38,Male,Delhi,Ahmedabad,Bracelet,2.4,SI2,G,135493.38,Online,3.01
TX000098,2023-01-01 00:26:57,58,Female,Delhi,Kolkata,Bracelet,2.15,VVS2,D,193436.73,Cash,11.66
TX000099,2023-01-01 15:16:27,57,Female,Gujarat,Ahmedabad,Bracelet,2.12,VVS1,E,114645.73,Credit Card,2.35
TX000100,2023-01-01 06:42:19,62,Male,Maharashtra,Ahmedabad,Necklace,1.95,SI1,E,259866.49,Credit Card,5.41
TX000101,2023-01-02 22:53:53,26,Female,West Bengal,Mumbai,Ring,1.29,VVS2,F,96205.52,Online,8.39
TX000102,2023-01-02 08:09:32,29,Female,Maharashtra,Ahmedabad,Ring,2.28,SI2,G,150876.67,Cash,9.39
TX000103,2023-01-02 09:46:00,28,Female,Tamil Nadu,Ahmedabad,Necklace,2.8,SI2,D,144874.32,Credit Card,1.91
TX000104,2023-01-02 22:32:16,30,Male,West Bengal,Kolkata,Earring,2.96,VVS1,E,175074.32,Online,2.62
TX000105,2023-01-02 12:42:52,54,Male,West Bengal,Delhi,Ring,2.24,VVS1,D,313139.79,Cash,22.36
TX000106,2023-01-02 14:50:02,32,Male,Gujarat,Chennai,Bracelet,1.87,SI1,E,106356.99,Credit Card,0.11
TX000107,2023-01-02 19:00:09,36,Female,Delhi,Chennai,Earring,2.93,VVS2,F,331885.48,Cash,8.76
TX000108,2023-01-02 08:49:25,50,Male,Karnataka,Delhi,Necklace,2.02,SI1,E,224870.37,Online,7.54
TX000109,2023-01-02 18:56:04,26,Male,Maharashtra,Bengaluru,Bracelet,0.8,VVS1,D,162543.92,Credit Card,14.12
TX000110,2023-01-02 22:24:48,34,Female,Delhi,Kolkata,Necklace,2.08,SI2,E,120275.16,Cash,5.0
TX000111,2023-01-02 06:05:06,57,Female,Gujarat,Mumbai,Necklace,0.93,VVS2,G,250020.71,Cash,7.52
TX000112,2023-01-02 01:57:19,45,Female,Karnataka,Bengaluru,Necklace,0.67,SI2,D,74095.88,Online,10.59
TX000113,2023-01-02 10:23:57,62,Female,Maharashtra,Kolkata,Necklace,1.6,VVS1,D,228879.33,Cash,5.03
TX000114,2023-01-02 13:34:24,41,Female,Tamil Nadu,Chennai,Necklace,2.64,VVS1,F,148407.73,Debit Card,4.88
TX000115,2023-01-02 16:57:18,30,Female,Tamil Nadu,Ahmedabad,Earring,1.78,SI1,F,63460.13,Credit Card,6.95
TX000116,2023-01-02 12:15:33,53,Female,Karnataka,Mumbai,Earring,1.93,VVS1,G,101194.96,Online,12.87
TX000117,2023-01-02 10:54:53,35,Male,Karnataka,Kolkata,Bracelet,2.87,SI1,E,282305.01,Cash,5.73
TX000118,2023-01-02 04:29:42,33,Female,Gujarat,Kolkata,Bracelet,2.3,SI1,D,257883.47,Credit Card,13.28
TX000119,2023-01-02 19:25:45,61,Female,Maharashtra,Chennai,Necklace,0.91,VVS1,E,171748.39,Credit Card,6.83
TX000120,2023-01-02 08:28:09,38,Male,Tamil Nadu,Ahmedabad,Earring,0.81,SI1,D,93390.53,Cash,7.8
TX000121,2023-01-02 11:16:48,52,Female,Karnataka,Bengaluru,Earring,1.36,VVS2,D,323166.92,Cash,10.25
TX000122,2023-01-02 03:32:14,30,Male,Gujarat,Bengaluru,Bracelet,0.94,SI1,E,107306.52,Debit Card,5.21
TX000123,2023-01-02 09:35:34,27,Male,Karnataka,Chennai,Necklace,2.54,SI2,G,180171.28,Cash,9.17
TX000124,2023-01-02 19:51:32,64,Male,Tamil Nadu,Delhi,Earring,1.39,SI1,F,140477.46,Debit Card,21.54
TX000125,2023-01-02 18:06:30,50,Female,Gujarat,Delhi,Bracelet,1.59,VVS2,D,298939.89,Cash,12.75
TX000126,2023-01-02 09:15:50,54,Female,West Bengal,Chennai,Necklace,2.44,SI1,G,155381.03,Credit Card,6.2
TX000127,2023-01-02 23:19:23,30,Male,West Bengal,Ahmedabad,Necklace,2.48,VVS1,D,173778.72,Online,3.17
TX000128,2023-01-02 07:22:40,38,Male,Karnataka,Kolkata,Necklace,1.59,SI1,E,286768.9,Cash,13.84
TX000129,2023-01-02 12:28:12,39,Male,Karnataka,Delhi,Earring,1.99,SI1,E,253895.94,Credit Card,13.94
TX000130,2023-01-02 20:02:46,31,Female,West Bengal,Ahmedabad,Earring,1.5,SI1,D,129321.28,Credit Card,11.58
TX000131,2023-01-02 04:36:16,56,Male,Tamil Nadu,Bengaluru,Bracelet,0.57,SI1,D,328232.24,Credit Card,5.03
TX000132,2023-01-02 10:37:07,31,Male,Tamil Nadu,Chennai,Necklace,2.35,VVS1,F,345642.42,Credit Card,6.33
TX000133,2023-01-02 20:56:10,26,Male,Maharashtra,Chennai,Earring,0.7,VVS2,G,220508.84,Online,4.1
TX000134,2023-01-02 09:58:01,56,Male,West Bengal,Delhi,Earring,1.39,SI1,G,144798.8,Online,4.05
TX000135,2023-01-02 20:57:54,54,Male,Karnataka,Chennai,Ring,2.44,SI2,G,330856.88,Credit Card,0.93
TX000136,2023-01-02 02:14:45,46,Male,Gujarat,Bengaluru,Earring,0.95,VVS2,F,176872.55,Credit Card,5.5
TX000137,2023-01-02 09:38:16,64,Male,West Bengal,Chennai,Ring,2.71,VVS1,F,88271.64,Cash,14.03
TX000138,2023-01-02 21:50:20,58,Male,Karnataka,Chennai,Ring,1.45,VVS2,F,208945.13,Debit Card,24.68
TX000139,2023-01-02 06:22:03,57,Male,West Bengal,Delhi,Earring,1.52,VVS2,E,86641.24,Debit Card,17.69
TX000140,2023-01-02 16:45:41,32,Female,Karnataka,Bengaluru,Ring,2.88,SI1,D,80196.66,Cash,2.4
TX000141,2023-01-02 15:40:40,52,Male,Delhi,Kolkata,Earring,2.48,SI2,E,344542.4,Cash,8.94
TX000142,2023-01-02 22:52:45,26,Female,Delhi,Delhi,Ring,1.61,VVS2,E,176086.69,Cash,1.73
TX000143,2023-01-02 13:41:00,28,Female,Maharashtra,Mumbai,Bracelet,1.33,SI1,D,104730.96,Online,0.0
TX000144,2023-01-02 06:01:37,61,Female,West Bengal,Chennai,Ring,1.11,SI2,F,100668.43,Credit Card,9.27
TX000145,2023-01-02 09:19:42,32,Male,Delhi,Delhi,Ring,2.63,VVS2,G,175635.33,Debit Card,12.67
TX000146,2023-01-02 10:55:25,63,Male,Gujarat,Bengaluru,Earring,1.47,SI1,F,272305.75,Online,10.95
TX000147,2023-01-02 16:37:39,45,Male,Tamil Nadu,Chennai,Necklace,0.75,VVS1,F,234359.6,Cash,9.08
TX000148,2023-01-02 00:57:04,62,Male,Delhi,Chennai,Earring,2.44,SI1,D,104801.82,Online,11.92
TX000149,2023-01-02 23:47:34,48,Male,Delhi,Kolkata,Necklace,2.44,SI2,G,107171.97,Online,11.89
TX000150,2023-01-02 21:45:11,58,Male,Maharashtra,Bengaluru,Bracelet,1.95,SI2,D,208160.01,Cash,1.89
TX000151,2023-01-02 05:33:08,27,Female,Tamil Nadu,Delhi,Ring,1.63,SI1,D,120772.94,Online,0.15
TX000152,2023-01-02 17:09:15,44,Male,Delhi,Mumbai,Necklace,1.47,VVS2,G,364043.16,Credit Card,6.91
TX000153,2023-01-02 01:26:08,29,Male,Gujarat,Ahmedabad,Earring,2.44,SI1,G,284813.57,Credit Card,1.96
TX000154,2023-01-02 11:22:17,33,Male,Karnataka,Kolkata,Bracelet,2.33,SI1,G,176011.7,Online,7.13
TX000155,2023-01-02 09:23:59,47,Male,West Bengal,Delhi,Necklace,2.77,SI1,G,371619.32,Debit Card,5.72
TX000156,2023-01-02 22:12:23,41,Female,Delhi,Kolkata,Earring,1.91,SI1,F,122221.25,Debit Card,11.83
TX000157,2023-01-02 21:08:43,60,Male,Gujarat,Delhi,Ring,0.82,SI2,G,259570.71,Credit Card,1.09
TX000158,2023-01-02 06:15:13,39,Male,West Bengal,Kolkata,Necklace,2.78,SI2,F,205901.51,Debit Card,11.38
TX000159,2023-01-02 00:49:14,57,Female,Maharashtra,Chennai,Bracelet,2.05,VVS2,D,122301.11,Online,4.76
TX000160,2023-01-02 02:07:14,54,Male,Delhi,Delhi,Necklace,1.2,SI1,F,299586.49,Credit Card,5.57
TX000161,2023-01-02 15:09:24,62,Female,Delhi,Delhi,Bracelet,2.26,SI1,D,207715.71,Credit Card,2.27
TX000162,2023-01-02 07:28:30,25,Male,Karnataka,Ahmedabad,Necklace,1.01,SI2,D,117154.18,Cash,22.43
TX000163,2023-01-02 22:39:59,53,Female,Karnataka,Mumbai,Earring,2.31,SI2,F,412988.33,Cash,3.77
TX000164,2023-01-02 13:24:39,51,Female,Tamil Nadu,Ahmedabad,Ring,0.54,SI2,E,205767.95,Debit Card,11.18
TX000165,2023-01-02 14:23:41,50,Female,Maharashtra,Delhi,Ring,1.66,VVS1,G,116005.37,Cash,15.49
TX000166,2023-01-02 15:01:53,62,Male,Tamil Nadu,Delhi,Bracelet,1.02,VVS2,D,218336.15,Cash,10.78
TX000167,2023-01-02 00:35:52,25,Male,Karnataka,Bengaluru,Bracelet,1.48,VVS2,F,250561.91,Online,17.62
TX000168,2023-01-02 21:33:29,46,Male,Karnataka,Ahmedabad,Necklace,2.29,VVS2,G,119457.36,Online,11.14
TX000169,2023-01-02 06:28:36,48,Female,Gujarat,Ahmedabad,Ring,1.94,SI2,F,437898.13,Online,4.12
TX000170,2023-01-02 14:07:40,32,Female,Karnataka,Ahmedabad,Earring,2.32,SI2,D,200546.99,Credit Card,24.43
TX000171,2023-01-02 01:50:03,35,Female,Tamil Nadu,Chennai,Earring,0.92,VVS2,D,365945.35,Cash,8.76
TX000172,2023-01-02 13:24:58,31,Male,Delhi,Delhi,Necklace,1.4,SI1,F,407810.89,Credit Card,21.99
TX000173,2023-01-02 10:33:01,48,Male,Karnataka,Kolkata,Ring,1.44,VVS1,G,289848.52,Debit Card,12.25
TX000174,2023-01-02 09:41:29,63,Female,Karnataka,Delhi,Necklace,0.87,VVS2,E,348764.11,Debit Card,4.8
TX000175,2023-01-02 19:55:28,31,Male,Gujarat,Delhi,Bracelet,2.67,SI1,D,102948.88,Credit Card,5.23
TX000176,2023-01-02 22:09:14,35,Male,Maharashtra,Delhi,Necklace,0.87,VVS2,E,104162.99,Online,9.63
TX000177,2023-01-02 23:16:24,35,Male,Delhi,Kolkata,Bracelet,1.52,VVS2,G,167107.9,Online,7.06
TX000178,2023-01-02 07:15:21,30,Female,Delhi,Chennai,Bracelet,2.34,SI2,E,176313.1,Online,11.81
TX000179,2023-01-02 20:03:03,55,Female,Gujarat,Bengaluru,Ring,1.9,SI1,D,280221.85,Online,3.48
TX000180,2023-01-02 09:00:20,61,Female,Gujarat,Chennai,Earring,2.89,SI2,D,147975.25,Debit Card,14.99
TX000181,2023-01-02 05:27:23,37,Male,Gujarat,Chennai,Earring,1.31,VVS2,G,320877.7,Online,4.99
TX000182,2023-01-02 11:40:28,33,Female,Tamil Nadu,Kolkata,Earring,2.69,VVS1,F,52933.32,Cash,11.68
TX000183,2023-01-02 00:40:34,40,Male,West Bengal,Chennai,Necklace,1.99,SI2,E,192690.05,Cash,1.92
TX000184,2023-01-02 16:34:24,42,Male,Gujarat,Ahmedabad,Bracelet,1.92,VVS1,G,113593.9,Cash,1.85
TX000185,2023-01-02 14:40:47,36,Male,Karnataka,Ahmedabad,Bracelet,2.38,SI2,D,371498.06,Online,12.73
TX000186,2023-01-02 08:40:36,32,Male,Karnataka,Chennai,Ring,2.61,SI2,E,109278.71,Debit Card,2.66
TX000187,2023-01-02 09:41:15,35,Female,Karnataka,Mumbai,Earring,2.03,SI1,E,86637.28,Credit Card,8.04
TX000188,2023-01-02 23:15:21,33,Male,Karnataka,Chennai,Ring,2.53,SI1,E,152953.23,Cash,11.73
TX000189,2023-01-02 12:06:00,50,Female,Karnataka,Kolkata,Necklace,2.81,VVS2,E,96057.1,Online,3.65
TX000190,2023-01-02 07:59:10,42,Male,Delhi,Ahmedabad,Earring,2.99,SI2,D,250274.87,Debit Card,11.04
TX000191,2023-01-02 18:09:33,40,Male,Karnataka,Ahmedabad,Bracelet,2.49,SI2,D,63450.6,Debit Card,11.75
TX000192,2023-01-02 17:46:49,28,Male,Karnataka,Mumbai,Ring,2.56,VVS1,F,140124.92,Credit Card,16.13
TX000193,2023-01-02 13:22:32,36,Female,Karnataka,Delhi,Bracelet,1.56,SI1,G,327850.26,Credit Card,4.75
TX000194,2023-01-02 19:56:49,31,Male,Gujarat,Bengaluru,Earring,2.46,VVS1,F,244391.21,Cash,23.12
TX000195,2023-01-02 11:10:51,57,Male,West Bengal,Ahmedabad,Ring,1.31,VVS2,F,312272.26,Online,12.86
TX000196,2023-01-02 21:33:34,58,Female,Gujarat,Chennai,Necklace,0.81,SI2,F,243425.38,Cash,4.4
TX000197,2023-01-02 11:41:26,28,Male,Maharashtra,Chennai,Ring,1.93,SI1,D,277005.84,Debit Card,12.13
TX000198,2023-01-02 18:46:21,64,Female,Delhi,Ahmedabad,Earring,2.95,VVS2,D,112762.95,Credit Card,14.08
TX000199,2023-01-02 10:56:13,63,Female,Gujarat,Kolkata,Necklace,2.96,SI2,G,210956.39,Online,13.29
TX000200,2023-01-02 05:08:22,37,Female,West Bengal,Mumbai,Ring,1.46,SI2,G,57528.42,Cash,21.65
TX000201,2023-01-03 10:48:12,25,Female,Gujarat,Delhi,Bracelet,1.17,VVS1,G,100649.26,Cash,4.46
TX000202,2023-01-03 22:58:07,59,Female,Delhi,Kolkata,Bracelet,1.86,SI2,F,268634.97,Cash,4.37
TX000203,2023-01-03 20:16:39,32,Female,Maharashtra,Mumbai,Bracelet,2.15,SI1,F,106861.65,Credit Card,21.71
TX000204,2023-01-03 02:10:23,55,Male,Tamil Nadu,Mumbai,Necklace,0.83,SI1,F,285132.47,Cash,3.21
TX000205,2023-01-03 13:45:06,47,Male,West Bengal,Bengaluru,Earring,1.36,SI1,F,262627.23,Cash,20.35
TX000206,2023-01-03 05:17:27,49,Female,Maharashtra,Ahmedabad,Necklace,2.38,VVS1,E,69705.34,Credit Card,14.77
TX000207,2023-01-03 02:33:47,55,Male,West Bengal,Mumbai,Bracelet,0.76,SI1,F,148699.95,Debit Card,17.29
TX000208,2023-01-03 03:54:16,29,Female,Gujarat,Delhi,Necklace,1.3,VVS1,D,209396.94,Credit Card,3.53
TX000209,2023-01-03 07:29:50,61,Female,Delhi,Kolkata,Earring,1.94,VVS1,D,294095.96,Debit Card,3.31
TX000210,2023-01-03 00:02:30,36,Male,Karnataka,Kolkata,Ring,2.96,SI1,E,134816.77,Online,10.23
TX000211,2023-01-03 14:58:39,53,Female,Delhi,Mumbai,Ring,2.73,VVS1,E,232602.79,Online,3.59
TX000212,2023-01-03 14:51:52,26,Female,Delhi,Delhi,Bracelet,1.32,SI2,D,262437.08,Cash,8.26
TX000213,2023-01-03 00:32:09,46,Male,Maharashtra,Kolkata,Ring,0.98,VVS2,F,231918.66,Cash,0.89
TX000214,2023-01-03 16:56:05,49,Female,Delhi,Mumbai,Earring,1.09,SI2,D,95821.48,Online,15.44
TX000215,2023-01-03 13:37:11,64,Female,Delhi,Chennai,Earring,2.32,SI1,G,204716.65,Credit Card,10.99
